[2024-02-14 19:56:05,960] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2024-02-14 19:56:06,024] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 52 become-leader and 0 become-follower partitions (state.change.logger)
[2024-02-14 19:56:06,027] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 52 partitions (state.change.logger)
[2024-02-14 19:56:06,602] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2024-02-14 19:56:06,634] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 2 as part of the become-leader transition for 52 partitions (state.change.logger)
[2024-02-14 19:56:06,774] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:06,812] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:06,856] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:06,890] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:06,923] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:06,960] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,004] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,062] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,096] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,143] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,177] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,213] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,249] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,293] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,328] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,362] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,396] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,432] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,501] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,535] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,580] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,616] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,660] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,713] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,753] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,786] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,857] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,890] INFO [Broker id=0] Leader new-topic-0 with topic id Some(B3jX1B-3Qbmt-Gj9WtsAoQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,936] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:07,980] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,029] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,063] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,098] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,243] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,279] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,316] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,359] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,406] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,429] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
